id,text,class
145,可以，就是下卡五万就很难再提上去了,2
146,为啥呢，我提额还是比较顺利的啊,1
147,五万是个槛，大部分人五万就不容易再往上提了，只能靠大山白了。。。,2
148,卡多的，就用冷冻大法,2
149,未收到卡之前能看到额度吗？,2
150,用一段时间在申大山白,2
151,5万元是门槛，大部分人都不能轻易再提起来，只能靠,2
152,也是最近。额度还很高呢,2
153,是的，我不能上去，但我怕以后不会怀恨在心。卡,0
154,确实是建行额度调整的短信内容。以前收到过，只要能指定文字。,2
155,如果发送号码正确！那一定就是对了，太开心了吧,1
156,不是地区吧？白天还有个大佬前几天0.35然后变成0.25呢，降息了,2
157,广东的吗，是的就是广东的农商行,2
158,有点高了比取现分期还多点,2
159,0.5高了，相当于每天万三的费率！,0
160,我们这里是.4，东北的，感觉是地区，毕竟推广短信是群发，短信就说了费率。问问小银行，很可能有低的，但是小银行推广力度一般不够...,2
161,不是推广短信。我已经接过好几次的电话了，银行是有这种分期业务，会给你打电话的,2
162,那就是建行的人，他们能查到谁有额度，然后挨个短信，电话也打。我全接过，而且不止一个人,2
163,好几个人，都是当地网点的。他们有提成的，不仅是任务量这么简单。所以贼卖力,2
164,确实都是本地网点打来让办理的，本地网点还是靠谱,1
165,费率从0.4变成0.25也没推下来！无缘分期通,0
166,哈哈，看标题就很想进来看看，都想知道怎么提额的，哈哈哈,2
167,现在有没有必要去进件申请,2
168,不太可能会出9万以上额度，大概率还是共享额度，毕竟大山白也只是8万起步额度,2
169,授信过高，你没业务来往不建议申，不然就是送年费的。,2
170,主要是权益那些感觉都没什么需要，想着申大山白看看能否曲线提高额度,2
171,那就曲线看看吧，反正1800年费随便撸一下就回来了,2
172,实测不会提额,2
173,兄弟已经试过了吗？提额提了多少呀,2
174,大山8万起步，我大山批了，额度还是8.7w没变,2
175,并没有，招行的朝朝盈稳健还是可以的,1
176,用了多久了？大山白也那么难提额？,2
177,我浦发销卡两次，间隔一年半，现在怎么都不批卡了怎么破？,0
178,那都没必要去白交1800年费了,2
179,中行20万是什么条件申请的？公司高管？还是有大额存款？,2
180,配额不太可能超过9万，配额分成的概率还是很大的。毕竟,2
181,用了多久？大山白这么难求？,2
182,一起办，各种基金呀都可以整起来,2
183,看你自己的需求了，也可两个都申请。额度不会低的,2
184,不用信用卡也能申分期通，有的网点还会给你加办一张信用卡。。。,2
185,随你，想giao哪个giao哪个，反正都是不错的，看个人需求了,1
186,能分60期我还想在养养，看看能不能额度再高点，毕竟预审批不一定给九万呢，理想是15万分个60期，差不多就压力不大了...,2
187,卡多不好批??。我15.8额度，申了两次没有批，就因为多头授信。,2
188,我就一张信用卡一个农商消费贷加一个房贷，准备养养征信在搞工商，现在看到建设分期通还可以啊，毕竟我公积金是建行的，我不玩卡就想备着点银行贷款...,2
189,怎么开公积金到建行的,2
190,也不一定。我卡都5张了，还有借呗，信用卡都用了不少，也没说多头授信,2
191,我让建行查原因，就是多头授信,2
192,我分期通预审批连续三个月涨额度75k-167k，工资卡建行，流水也在建行，两行卡没网贷,2
193,装修贷款我也能批，但是要回房贷地去走流程，繁琐，不如分期通好，利率都是0025左右吧，目前我分期通是004,2
194,我分期通这个月刚降息，0.25，之前0.4,2
195,卡很难批。?我申请了15.8的名额，但是两次都没批，只是因为,0
196,不一定。?我卡有5本，借了很多贷卡。,2
197,怎么给建行开公积金,2
198,公司开了，额度随便提啊，哈哈哈,2
199,我找建行了解原因，就是多次贷款不批。不到申请,2
200,最近一直游过来游过去。是在吊我吧，浦发,2
201,试试啊，试完回来告诉我们下，我也想知道分期，手续费贵不贵,2
202,开通了，良民证加人脸识别开通了，在掌上生活直接开通,2
203,去网点。?网点办信用卡很靠谱,1
204,为啥不是ems用这无语挂号信！邮政储蓄就是坑,0
205,明天就到了，兴业的效率还可以,1
206,不会吧？真的，我当时临时想刷个钱交通死活不同意啊,0
207,同广东路线一样我建行下了三张都是4～5天到,2
208,可以自己出钱用更快的快递服务。,2
209,哈哈哈哈啊哈嘿，我的额度提了一倍,1
210,小病也刷不了多少钱，无所谓，但是大病，刷大金额银行就要颤抖了，银行会认为，这客户是不是得了不治之症啊，那钱就要打水漂啦，赶紧降额！！！;P...,2
211,可以啊，只是没积分而已,2
212,你把卡绑老马或者小马然后扫不香嘛？拿着卡到医院刷卡那算公益类消费一分没有！记住走线上扫码！,2
213,只要是正规真实合法商户，除了风险投资类和房产类以外刷什么都可以！,2
214,可以刷，不给刷可以投诉他，保留好发票，降额了可以投诉银行，我一个客户交住院押金4万隔了3个月银行降额，投诉成功，因为他这张卡都是真实消费，我们当地银保监要求银行恢...,0
215,可以，但是没积分，我前边光大的医院刷了10W，本来半年稳定提一次，结果导致1年半不给提,2
216,直接医院刷10w？那会不会被建行查呀,2
217,你废行额度真高呀,2
218,废废居然成了你额度最高的卡。我是不会消废废的总是在我困难的时候没有断过财智金??而且利息还能接受。四大是好可是四大的一万也不能顶2万用。论高额度卡的重要性，真...,2
219,可以刷，银行赚不到钱，去医院都不是什么好事，现实的社会，以后提额难,2
220,这预审批可以冲下大山白,2
221,100k预审批？这么牛的，bilibili卡，全球支付白，芭比白，Joy卡都可以刷免，只有大山白和挚爱卡是刚性年费,2
222,有小白金，好像是刷12笔免年费,2
223,名字叫什么，在哪里申请呢，我看额度还可以啊,2
224,年费头铁，有没有刷几笔免年费的白金卡呢？,2
225,支付白，芭比白？,2
226,支付白是哪个？全球支付好像只有普通版，没有白金版的呀？？不懂在哪里,2
227,全球支付是N个账户么？,2
228,你看下有没有预审批,2
229,希望不大，征信里面还能查到这些逾期记录的话还是别申请了，基本不会过,2
230,玖富不是撤了征信么，可以看看,2
231,没看论坛么，很多人的征信没结清的都撤了，具体原因众说纷纭。。。。就一个星期前的事,2
232,你他行信用卡有逾期人行的征信记录肯定有影响，很难办下来。,2
233,看你资质怎么样，资质没问题的话，贷款问题不大,2
234,路过看看哈，能提额还是提吧,2
235,各位以后切记不要尝试咯，花费几百大洋测试底线没有必要，还是按照银行的要求来吧，这样不会被坑,0
236,招行：young卡45K,2
237,55K额度都用不了，其实你不用太在意额度的,2
238,这操作会被盯上的，销卡咋办,2
239,建行5万后很难提额了，出临时有什么意义呢，和固定没什么关系,0
240,前几天现金分期27.5Ｋ，之前还有个10Ｋ，打算这次弄完还没有动静就搞其它银行，还完后丢一边去,2
241,我做过2次现金分期，特么钱一直在储蓄卡里，发风险短信来说我违规操作。。立马打电话过去怼，现在打过来要办业务的，通通怼回去。恶心...,0
242,七行，建行重新新户申请，下卡4.5，原来是1.0，还涨了额度,2
243,四行也没用，去年和前年我只有两行卡工商和建设，没逾期没小贷无负债连临时都没有，还特意养了几个月征信，4年没提。所以今年直接下了猴子和恒丰，爱提不提。...,2
244,因为任务量暴增了，不放水上面的kpi也完不成嘛。,2
245,二卡还好吧，我三卡通过的。二卡汽车卡单标,2
246,我也是，二卡汽车卡年费才交，看见双标活动就办了三卡，又是200年费。早知道直接办双标,2
247,你办的交通银行的信用卡是怎么通过的？,2
248,专项积分怎么搞，刷卡就能搞到吗？,2
249,就有卡通道直接申请，没提交其它材料,2
250,是不是没有建行储蓄卡？看进度和这个字面显示的意思我个人理解是让你本人先去网点完成面签（即所谓银行的三亲见，保证是本人申请）然后再制卡邮寄...,2
251,对啊，之前卡少的时候申请也不过搞不懂…,2
252,果然限制只对于我们这些凡人你这种102k授信的大佬好像可以为所欲为,2
253,你这是建行首卡吗？已经几行信用卡了？,2
254,我有储蓄卡??都是直接邮寄给我的,2
255,稳了我感觉最低都有3.8万以上,2
256,额度报喜,1
257,这额度怎么算的？,2
258,建设喜欢平均额度高一点点但是一般不会仿别的银行的！你卡额度不低一般都会在我说的那个额度浮动吧！不过你也可能像别的卡友下卡6万以上！！今天去面签看下吧...,2
259,有储蓄卡，不过一直都没用就是了,2
260,我有储蓄卡??都不用面签了,2
261,是的过了面签等收卡手机APP上激活昨天刚操作完,2
262,面签完是不是就可以看到额度了？,2
263,是的，APP上能看到额度,2
264,快贷有额度就很容易过，,2
265,看了你帖子大概率要套路。。,0
266,代发这么高额度怕个毛,2
267,我有额度就没过，下款才查征信，有一点毛病就拒的你怀疑人生,0
268,不过不上征信吗？没敢试,2
269,你下过你应该知道呀，过不过都是一次贷款查询,2
270,快贷很少套路的，利率还低,0
271,我才3400,2
272,我和你一样，申请吧，反正我没申请下来，你看下能有多少额度,2
273,代发工资就是叼，难怪额度这么高,2
274,负债高征信花过不了，点一次上一次征信！我也是代发工资！有额度用不了,2
275,关键这个月查询多，大数据都花了，以前下款的时候没有这些网贷,2
276,代发就能过啊？那说明是资质不错的，一般银行都会批信用卡的,1
277,建行没什么套路信用卡别太多了就行,2
278,快贷没什么不良记录基本都会过,2
279,没逾期，网贷多，花的不能再花了,2
280,有公积金吗，额度多少，我这39000.明天到期，不知道还了还能不能出额度,2
281,能看不能用是吧那就是信用卡或者信用贷款多了,2
282,看了你的帖子，我有很大概率套路???,2
283,今年准备买房了，老爹要退休了让我做主贷人，拉了一波征信，我这种情况，房贷应该很快下来吧,2
284,一般都没有首付这东西了，我这边的银行直接和我谈的免首付，免分期費,2
285,不高，楼主征信好不……,2
286,用两年就换不高，时间长了利息就不合适了,2
287,征信没有逾期但是查询多有网贷,2
288,银行利息还算可以,2
289,你已经申请了吗？我的车主卡申请下来了,2
290,建行有房贷所以给的,2
291,我昨天申请的已经拒了。如果负债高，查询多信用卡账户也多，就不要去碰瓷了。我打电话问的。这玩意，资质好的秒过，一直不好的别去尝试了。额，又特么浪费一次查询...,0
292,具体怎么使用的是刷完一笔自动分期吗还是,2
293,具体怎么用是刷出自动分期还是,2
294,信用信息没逾期，但是网上贷款查询多,2
295,每月0.35%，这个利率有点高啊,0
296,银行利息还可以,1
297,有需求的话用你的额度被拒。,2
298,你去银行问一下在论坛里问出来的答案代表不了银行，打中行客服问下,2
299,完全可以非常低利息的贷款结清,2
300,最好吧网贷还了信用卡可以不用还,2
301,分期通看看有额度没,2
302,宁波银行放水试试啊,2
303,建行都是线上??自己试试??能过就能过,2
304,都要还啊，分期还不是要还的,2
305,问了个中介说他有办法把快贷申请下来，我不是很相信,0
306,可以用很低的利息完全结清贷款。,2
307,我是通过邮政申请公积金贷款的。反正我去年交了15个公积金,2
308,最好网贷卡还信用。不用还,2
309,目前还不到贷款。有很多询问。你有网贷，不敢操作,2
310,我只需要把网贷的信用结算卡不,2
311,"0.5%有点高啊,我是0.35%",2
312,我下了几十W，感觉稳的，理财经理也很高兴，帮她完成了业绩，我就感觉年费率7.8%有点高，刷出来感觉成本也不低,2
313,电话上有说什么费率吗？我感觉是稳的，这个卡办下来是你在帮银行的忙，银行在求你办呢,1
314,有八万的额度，借呗朋友一直在循环的借8万,2
315,先看看有没有分期通额度??然后看自己有没有网贷??网贷用了多少??有没有逾期??我刚申请的??不到半小时就收到成功的短信...,2
316,不稳，我去白送了个人头，后续各行血崩,0
317,我也想知道大山怎么提额,2
318,浦发梦白金属178k,2
319,据我所知，这种大金只能归高端客户所有。如果是,2
320,我的建行在建快10年了，现在才3万多?,2
321,大山白还没见过,2
322,是被小黑屋还是怎么滴了？搞得我现在都不想刷建行的卡了,0
323,9行？大几率拒,2
324,北京银行啊,2
325,什么资质，有没有预审批,2
326,多数是拒的，已有一张26K的,2
327,上个月被拒，房贷行，已有一张28k，已持有5行（含建行）无砖,2
328,批了吗，我的建行信用卡批了,2
329,到8万才能批，不到没有硬件更新下不来的，这个额度还可以的,2
330,没有呢，我申请的浦发一直都没下来,2
331,下卡喜提1800元年费,1
332,9行有点悬，事业单位直推的话4行大概能批,2
333,你自己提交的吗？我老婆网点提交，半个小时通过，建行的哦,2
334,费率低有什么用，还不知道能不能过呢，五六天了没反应,0
335,为什么五天了不出结果呢，可能是黄了，招行就是坑,0
336,别人是去超级柜员机出的！秒出！还是要去线下，浦发就是秒出,2
337,没出结果，也没电话回访，就稳了？,2
338,嗯基本没有当晚8-10点拒绝的基本都稳因为过了系统了,2
339,那还要多久能出结果,2
340,楼主你过了吗？我跟你一样也没结果22号手机申请的，我想知道你过了么？额度多少,2
341,额度8万，多出一张额度5万的普卡，需要销卡嘛,2
342,不值钱招行的额度太低,0
343,这卡号花了不少钱吧……，办个信用卡,2
344,工商17.08.2513K-26K-50K-100K,2
345,不要销，留一张62开头的做任务,2
346,一般都能下啊，有房贷车贷都可以,2
347,我建行房贷过了信用卡没过，，主要呢还是二卡。。都没过。,2
348,通过了么？我的也是一样。面签要求申请的信用卡。差不多进度,2
349,信用卡没过,2
350,你在哪里查的。我半个月了查不到进度。也不知道过没过，工行的信用卡,2
351,你说的是信用卡还说房贷,2
352,信用卡。房贷面签推荐办理的,2
353,公众号就能查，你关注招行的公众号,2
354,查不到。我在银行app里面查不到，打银行电话说也没记录。估计还没提交上去，都半个月了，这个兴业的好坑啊,0
355,都还没有建档呢别慌你贷款都还没有批吧,2
356,我的名字批。但是审核通过半个多月了。说有个信用卡。不晓得等好久才拿的到卡。app查信用卡进度提示没有...,2
357,反正过了半个月也没什么进展。,2
358,先等房贷付款吧,2
359,房贷多少，数额大的话一般会过，我朋友五百万房贷下卡五万,2
360,一般信用卡会先通过，房贷没那么快的,2
361,70w，浦发的哦,2
362,你说的是信用卡，你说的是抵押,2
363,微信官方账号可以查，你关注招行的微信公众刚好,2
364,还没备案。别慌，你的贷款还没批,2
365,信用卡，基金这些外包推销的吧。,2
366,建行大部分肖招，社会招募还是很少,2
367,正常吧，离职率高不就得经常招人,2
368,自己的券没付成功不给付了,2
369,新卡羊毛就跟着凑下热闹吧，3.7元可以购两次！有效期到2024年呢～虽然用24000积分就可以免费喝………我几十万积分就可以喝到吐了,2
370,当前额度多少,2
371,建行首卡，招商66000,2
372,如果已经向银行申请，就耐心等结果，会有分行专员联系你，主要还是要看你是否有还款能力。,2
373,分行已经联系了，只有分期，，没得减免。,2
374,我也是，一次性还款只肯减免违约金3600，利息差不多20000一分不少。我没同意。昨天投诉了，今天来电话要...,0
375,哥们，你找谁投诉的啊，有用么,2
376,我也是，一次性还款只肯减免违约金3600，利息差不多20000一分不少。我没同意。昨天投诉了，今天来电话要我撤诉，然后他跟总行那边申请减免。我就担心最后还是不给减免，...,0
377,没有。我信访三次，每次回电都是同一人，说建行只有分期，没有减息的。第三次直接不理我,2
378,建设银行也能上海信访吗,2
379,你逾期了多久？是一次性还还是分期还？最后有没有减免利息和违约金呢？,2
380,我的现在起诉了，刚刚打电话说还款的事，直接说起诉了。,0
381,你是逾期后的金额分期？,2
382,用了很多年的储蓄卡，以前是交物业水电费的，后来这套房子卖了就没怎么用了。近一年来每个月从其他行或zfb转钱进该卡还,2
383,建行app申请好像要填一张储蓄卡是吧，我老婆申请就没储蓄卡结果就算了，我的是以前客服帮我申请的,2
384,建行APP申请的，没有登录也没有建行账户，支付白银联单标，我看某个帖子说的可以申请单标的支付白就试了试,2
385,不送才怪，银行多会做活动。反正招行都送了,2
386,你行数这么多，还是那么不信邪吗。还冲哦，还好吧，有房子有车，贷款都还了,2
387,你是不是有社保公积金代发工资之类的,2
388,工作五年了，社保公积金一直正常交，公积金户头大概有八万，不过跟建行没有过往来，新户,2
389,楼主，从哪里申请的？这个额度喜人啊,1
390,有社保吗？??难道有水？额度怎么高的,2
391,我都做好准备几千或者万把块额度了。。毕竟第一次申请四大行，结果挺意外的,2
392,搜不到啊。。。你是在哪搜的？我在掌上生活,2
393,卡片上面的名字不打码吗？浦发银行白金卡啊,2
394,直接干大白山啊,2
395,张坤，拍拍贷处理一下,2
396,过些时间就有了，时间越久额度越高的,2
397,这个可以直接刷卡消费吗,2
398,有公积金搞老油子啊,2
399,老油子是哪个银行，建设银行？,2
400,有公积金线下申请去吧，基本稳过。,2
401,看完心理平衡多了。。。我只有流水，预审批没有，始终下不来卡,0
402,正因为走了许多路，经历的无数繁华与苍凉，我们才能在时光的流逝中体会岁月的变迁，越来越怀旧了，可能是老...,0
403,印象特别深，这是我第一张金卡，2008年我办下来了，也是我见过最漂亮的卡，没有之一，金灿灿的龙，看得心醉,1
404,以为渣打下卡了,2
405,我丢，金融件还敢扔快递柜？除了京东自营与顺丰，我的快递都被扔各网点，但金融件没遇到过，上行通过京东派…邮政储蓄太不靠谱了吧,0
406,中原10k没激活,2
407,分期通使用征信上咋提示的,2
408,抵押贷一般没事，负债就是信用卡，网贷，车贷这些。一般就算会批，也会综合你的负债情况，减掉一部分。,2
409,核对了下各种各样的暗号。然后就批了，额度还可以,2
410,核对哪些信息，身份证，房产反正招行是这些,2
411,周末申请的，还没听说，浦发的效率比较低啊,0
412,预批名额怎么了，交通银行会快点吧,2
413,然后说后续的卡片会邮寄给公司。?兴业是这么说的,2
414,分期付款信用提示什么,2
415,冻结别想了，基本行内黑名单。我征信有逾期建行贷后已经冻结卡了，大前天我已经销户销卡了，还好额度不高只五千额度，销了也不可惜。...,2
416,不要沉自己，资质可以的都不用担心额度问题,2
417,要不要借出去？？这个额度还可以借，在说什么,2
418,估计是的了，我在掌上生活看到优惠了,2
419,自己点的还是网点办的，最好线下办，除非征信有问题基本都能下。,2
420,装修贷批了吗，我的也是已完结，,2
421,请问最后额度出了吗,2
422,拒了会有短信吗,2
423,我也想办这个，正在联系省分行的某领导，据说上门是省分行说了算，上门的人觉得能过就能给过，额度都是根据资质定的,2
424,有这种事吗？保养？我也这么认为，信用卡也是需要保养的啊,2
425,恭喜楼主。我预审批10k，网申joy卡才8k，现在还没去激活，纠结,1
426,中行是注销后再申的吗？,2
427,建行还能曲线？,2
428,走无卡比有卡更容易曲线提额吗??有卡是不是容易共享,2
429,建行二卡，无卡申请，2.8-5，建行最近怎么了,2
430,申请的时候选择无卡通道填写完整信息，额度还是可以的哦,2
431,无卡通道怎么弄啊，我用云闪付和微信通道，一下就出来以前的信息了。。,2
432,又一大波被建行收割人头的的正在赶来～,2
433,所以我想起最近征信上的变化还是想着提醒下大家理性我也不知道具体是什么起到了作用,2
434,直接过了，碰瓷大白吧，额度还比较满意,1
435,坛子里普遍认为，2万以下可以申芭比白有机会曲线，因为芭比白2万起步的，为什么能曲线到5万,2
436,我这次申请的是哔哩哔哩卡芭比白去年申请过曲线到2W,2
437,你好楼主，无卡通道，提交资料后多久批的卡,2
438,名下有车就下的把，还看你的车贷,2
439,车卡容易过吧，我征信有逾期都过了,2
440,推那么多次干嘛，额度该是多少就是多少,2
441,主要看一更时间，一般征信后立马就会有结果，或者不批不拒就是转下个审批人那里了??就要再次人工审核。,2
442,是不凉了，已经当他拒了，一般不秒批或隔天批，基本凉了,0
443,再说一这不是首卡。下来应该没啥问题,2
444,去网点。带上你的行驶证保单应该能下,2
445,多生活消费，勤搬砖，提额飞快！,1
446,是刷卡还是扫码啊,2
447,小额多笔消费,2
448,多刷多用，减债?,2
449,多活，勤搬砖，快提量！,2
450,没本事，多刷多用，额度自然高,2
451,有啊，分期通啊,2
452,前几年办过一次分期通，快还完了，还完以后这个分期通还会有额度吗？是马上有还是说要等几个月后建行系统评估才会有？另外分期通提前一次性还完有什么影响吗？...,2
453,分期通是建行的,2
454,"临时啊,悠着点，小心你的信用卡",2
455,我觉得根本用不上，我办了浦发的卡啊,2
456,建行嫌卡多，超过6行几乎无机会下卡。有砖也许有希望,2
457,给建行存500万毛爷爷，你要什么卡他都会给你,2
